Date,Open,High,Low,Close
2010-07-02,109.82,110.71,109.44,110.27
2010-07-05,110.13,110.41,109.68,110.03
2010-07-06,110.02,110.85,109.14,110.55
2010-07-07,110.55,110.93,109.32,110.82
2010-07-08,110.82,112.48,110.72,112.24
2010-07-09,112.26,112.66,111.52,112
2010-07-12,112.1,112.39,111.12,111.57
2010-07-13,111.58,112.91,110.69,112.85
2010-07-14,112.84,113.29,112,112.64
2010-07-15,112.63,113.33,111.83,112.97
2010-07-16,113,113.35,111.51,111.92
2010-07-19,111.78,113.04,111.43,112.34
2010-07-20,112.3,113.32,111.44,112.72
2010-07-21,112.71,112.82,110.77,110.92
2010-07-22,110.92,112.7,110,112.16
2010-07-23,112.15,112.98,111.59,112.83
2010-07-26,112.91,113.46,112.2,112.95
2010-07-27,112.95,114.41,112.76,114.21
2010-07-28,114.2,114.72,113.22,113.45
2010-07-29,113.47,114.14,113.17,113.64
2010-07-30,113.63,113.68,112.04,112.79
2010-08-02,112.85,114.17,112.69,113.86
2010-08-03,113.85,114.13,113.09,113.5
2010-08-04,113.49,113.66,112.69,113.55
2010-08-05,113.54,113.88,112.76,113.18
2010-08-06,113.17,113.7,112.57,113.5
2010-08-09,113.44,113.92,113.27,113.63
2010-08-10,113.63,113.73,112.27,112.4
2010-08-11,112.42,112.59,109.31,109.51
2010-08-12,109.49,110.87,109.2,110.14
2010-08-13,110.16,111.1,109.53,109.95
2010-08-16,110.06,110.25,109.16,109.4
2010-08-17,109.41,110.41,109.05,110.19
2010-08-18,110.18,110.32,109.57,109.73
2010-08-19,109.75,110.12,109.19,109.29
2010-08-20,109.32,109.59,108.23,108.75
2010-08-23,108.75,108.85,107.61,107.61
2010-08-24,107.64,107.79,105.43,106.28
2010-08-25,106.26,107.61,106.26,107.13
2010-08-26,107.13,108,107.07,107.4
2010-08-27,107.39,108.87,106.98,108.75
2010-08-30,108.94,109.55,107,107.06
2010-08-31,107.06,107.74,106.16,106.8
2010-09-01,106.79,108.58,106.56,108.11
2010-09-02,108.1,108.29,107.45,108.11
2010-09-03,108.11,109.52,107.9,108.74
2010-09-06,108.59,108.93,108.27,108.31
2010-09-07,108.3,108.37,106.22,106.24
2010-09-08,106.24,107.1,105.77,106.68
2010-09-09,106.69,106.94,105.95,106.44
2010-09-10,106.45,107.36,106.23,106.68
2010-09-13,106.97,107.91,106.97,107.82
2010-09-14,107.81,108.22,106.78,107.82
2010-09-15,107.82,111.59,107.72,111.57
2010-09-16,111.56,112.38,110.64,112.22
2010-09-17,112.22,112.95,111.59,112.06
2010-09-20,111.9,112.33,111.67,111.92
2010-09-21,111.93,112.88,111.46,112.82
2010-09-22,112.82,113.51,112.56,113.27
2010-09-23,113.28,113.4,112.22,112.36
2010-09-24,112.35,113.75,112.3,113.57
2010-09-27,113.65,113.74,113.07,113.27
2010-09-28,113.27,114,112.66,113.87
2010-09-29,113.85,114.18,113.48,114.03
2010-09-30,114.05,114.23,112.97,113.78
2010-10-01,113.78,114.86,113.75,114.74
2010-10-04,114.81,115.28,113.74,114.06
2010-10-05,114.07,115.33,113.86,115.12
2010-10-06,115.12,115.63,114.67,115.45
2010-10-07,115.43,115.66,114.22,114.5
2010-10-08,114.5,114.93,113.67,114.05
2010-10-11,114.2,114.72,113.82,113.92
2010-10-12,113.94,114.14,112.83,113.84
2010-10-13,113.86,114.66,113.78,114.17
2010-10-14,114.18,114.77,113.98,114.7
2010-10-15,114.7,114.7,113.53,113.8
2010-10-18,113.78,113.79,112.37,113.35
2010-10-19,113.35,113.63,111.79,112.13
2010-10-20,112.13,113.35,111.54,113.24
2010-10-21,113.26,113.89,112.78,113.19
2010-10-22,113.19,113.72,112.6,113.5
2010-10-25,113.53,113.78,112.53,112.7
2010-10-26,112.71,113.25,112.39,112.84
2010-10-27,112.82,113.18,112.22,112.52
2010-10-28,112.55,112.97,112.18,112.82
2010-10-29,112.81,112.95,111.52,112.1
2010-11-01,112.24,113.08,111.74,111.94
2010-11-02,111.92,113.46,111.89,113.18
2010-11-03,113.16,114.83,112.8,114.5
2010-11-04,114.51,115.41,114.02,114.77
2010-11-05,114.74,115.03,113.89,114
2010-11-08,114.22,114.28,112.64,112.88
2010-11-09,112.89,113.03,111.71,112.35
2010-11-10,112.39,113.77,112.22,113.31
2010-11-11,113.31,113.53,112.5,112.69
2010-11-12,112.68,113.38,111.03,112.93
2010-11-15,112.85,113.61,112.58,112.87
2010-11-16,112.88,113.39,112.24,112.41
2010-11-17,112.41,112.78,112.31,112.51
2010-11-18,112.51,114.08,112.5,113.86
2010-11-19,113.85,114.3,113.51,114.19
2010-11-22,114.6,114.94,113.22,113.45
2010-11-23,113.45,113.64,110.73,111.22
2010-11-24,111.2,111.75,110.3,111.41
2010-11-25,111.41,111.89,110.99,111.64
2010-11-26,111.66,111.82,110.56,111.34
2010-11-29,111.54,111.67,110.23,110.42
2010-11-30,110.46,110.69,108.33,108.6
2010-12-01,108.61,110.75,108.42,110.46
2010-12-02,110.46,111.19,109.97,110.8
2010-12-03,110.8,111.1,109.87,110.71
2010-12-06,110.88,111.08,109.63,109.95
2010-12-07,109.95,111.09,109.55,110.72
2010-12-08,110.74,111.47,110.51,111.46
2010-12-09,111.46,111.64,110.57,110.85
2010-12-10,110.85,111.12,110.48,111.01
2010-12-13,110.9,112.06,110.63,111.73
2010-12-14,111.72,112.19,111.51,111.89
2010-12-15,111.89,112.1,111.23,111.43
2010-12-16,111.43,111.61,111.06,111.21
2010-12-17,111.22,111.93,110.38,110.73
2010-12-20,110.55,110.69,109.56,109.92
2010-12-21,109.92,110.48,109.6,109.69
2010-12-22,109.68,110.09,109.18,109.48
2010-12-23,109.49,109.6,108.44,108.82
2010-12-24,108.8,109.04,108.56,108.64
2010-12-27,108.7,109.06,108.39,108.95
2010-12-28,108.94,109.49,107.6,108.02
2010-12-29,108.01,108.08,107.6,107.92
2010-12-30,107.93,108.91,107.59,108.29
2010-12-31,108.29,108.9,108.27,108.61
2011-01-03,108.05,109.24,107.76,109.1
2011-01-04,109.1,110.25,108.61,109.26
2011-01-05,109.24,109.75,108.48,109.43
2011-01-06,109.43,109.66,108.12,108.26
2011-01-07,108.27,108.57,106.96,107.18
2011-01-10,107.2,107.64,106.79,107.04
2011-01-11,107.04,108.26,107.04,108.08
2011-01-12,108.11,109.08,107.84,109.01
2011-01-13,108.99,110.68,108.68,110.46
2011-01-14,110.49,110.98,110.03,110.92
2011-01-17,110.78,110.98,109.58,109.77
2011-01-18,109.78,111.14,109.57,110.56
2011-01-19,110.56,111.05,110.33,110.47
2011-01-20,110.46,111.91,110.3,111.73
2011-01-21,111.75,112.49,111.62,112.47
2011-01-24,112.49,112.89,112.23,112.58
2011-01-25,112.57,112.78,111.81,112.44
2011-01-26,112.44,112.92,112.14,112.62
2011-01-27,112.66,114,112.43,113.72
2011-01-28,113.74,113.81,111.5,111.77
2011-01-31,111.53,112.68,111.38,112.35
2011-02-01,112.35,112.69,111.87,112.48
2011-02-02,112.49,112.91,112.19,112.57
2011-02-03,112.56,112.86,111.04,111.21
2011-02-04,111.21,112.06,110.78,111.63
2011-02-07,111.61,112.19,111.22,111.79
2011-02-08,111.8,112.31,111.59,112.14
2011-02-09,112.14,113.2,112.06,113.02
2011-02-10,113.03,113.4,112.61,113.29
2011-02-11,113.32,113.44,112.76,113.06
2011-02-14,112.88,112.9,112.08,112.32
2011-02-15,112.33,113.39,112.33,112.93
