Date,Open,High,Low,Close
2005-05-05,16.705,16.712,16.649,16.703
2005-05-06,16.703,16.782,16.544,16.576
2005-05-09,16.583,16.781,16.574,16.759
2005-05-10,16.756,16.817,16.694,16.779
2005-05-11,16.779,16.872,16.703,16.768
2005-05-12,16.768,16.817,16.726,16.737
2005-05-13,16.738,16.776,16.681,16.698
2005-05-16,16.718,16.794,16.649,16.702
2005-05-17,16.702,16.778,16.628,16.729
2005-05-18,16.727,16.787,16.679,16.706
2005-05-19,16.706,16.803,16.686,16.784
2005-05-20,16.781,16.799,16.693,16.737
2005-05-23,16.711,16.74,16.666,16.691
2005-05-24,16.689,16.772,16.647,16.745
2005-05-25,16.746,16.932,16.702,16.894
2005-05-26,16.894,16.969,16.875,16.897
2005-05-27,16.893,17.05,16.874,17.006
2005-05-30,16.971,17.003,16.867,16.904
2005-05-31,16.895,16.917,16.762,16.806
2005-06-01,16.806,16.87,16.76,16.779
2005-06-02,16.779,16.821,16.742,16.79
2005-06-03,16.789,16.805,16.659,16.663
2005-06-06,16.672,16.716,16.646,16.665
2005-06-07,16.673,16.704,16.625,16.634
2005-06-08,16.636,16.746,16.552,16.583
2005-06-09,16.581,16.679,16.533,16.621
2005-06-10,16.62,16.821,16.605,16.821
2005-06-13,16.776,16.884,16.722,16.857
2005-06-14,16.858,16.905,16.679,16.733
2005-06-15,16.737,16.814,16.686,16.777
2005-06-16,16.774,16.856,16.722,16.754
2005-06-17,16.744,16.928,16.725,16.915
2005-06-20,16.86,16.93,16.836,16.909
2005-06-21,16.905,16.922,16.723,16.774
2005-06-22,16.777,16.844,16.717,16.766
2005-06-23,16.767,16.774,16.469,16.495
2005-06-24,16.493,16.649,16.462,16.597
2005-06-27,16.616,16.791,16.61,16.745
2005-06-28,16.754,16.806,16.661,16.699
2005-06-29,16.701,16.89,16.67,16.854
2005-06-30,16.856,16.993,16.811,16.942
2005-07-01,16.943,17.06,16.908,16.981
2005-07-04,16.927,16.949,16.796,16.846
2005-07-05,16.844,16.905,16.789,16.821
2005-07-06,16.832,16.909,16.774,16.88
2005-07-07,16.886,17.015,16.855,16.945
2005-07-08,16.955,17.071,16.928,17.071
2005-07-11,17.089,17.104,16.971,17.071
2005-07-12,17.073,17.186,17.018,17.159
2005-07-13,17.157,17.235,17.099,17.124
2005-07-14,17.119,17.148,17.054,17.092
2005-07-15,17.085,17.135,16.934,17.008
2005-07-18,16.975,17.077,16.77,16.789
2005-07-19,16.786,16.968,16.778,16.935
2005-07-20,16.926,17.182,16.917,17.146
2005-07-21,17.147,17.182,16.78,16.83
2005-07-22,16.829,17.007,16.812,16.888
2005-07-25,16.87,17.076,16.86,16.999
2005-07-26,16.995,17.117,16.991,17.086
2005-07-27,17.094,17.139,17.051,17.087
2005-07-28,17.089,17.234,17.05,17.173
2005-07-29,17.174,17.381,17.169,17.351
2005-08-01,17.361,17.468,17.339,17.418
2005-08-02,17.414,17.433,17.287,17.303
2005-08-03,17.301,17.492,17.281,17.437
2005-08-04,17.435,17.541,17.395,17.501
2005-08-05,17.5,17.589,17.449,17.496
2005-08-08,17.529,17.588,17.415,17.516
2005-08-09,17.513,17.578,17.475,17.49
2005-08-10,17.496,17.51,17.294,17.331
2005-08-11,17.333,17.388,17.287,17.334
2005-08-12,17.336,17.367,17.205,17.206
2005-08-15,17.246,17.251,16.953,17
2005-08-16,16.997,17.058,16.896,17.042
2005-08-17,17.04,17.082,16.96,16.979
2005-08-18,16.976,17.085,16.902,16.932
2005-08-19,16.934,16.952,16.784,16.797
2005-08-22,16.819,16.857,16.739,16.807
2005-08-23,16.819,16.87,16.778,16.851
2005-08-24,16.85,17.045,16.828,17.034
2005-08-25,17.036,17.098,17,17.068
2005-08-26,17.069,17.123,16.985,17.044
2005-08-29,17.05,17.216,17.03,17.078
2005-08-30,17.077,17.211,17.051,17.196
2005-08-31,17.193,17.411,17.168,17.353
2005-09-01,17.371,17.577,17.321,17.53
2005-09-02,17.528,17.71,17.516,17.665
2005-09-05,17.656,17.682,17.446,17.525
2005-09-06,17.523,17.526,17.412,17.462
2005-09-07,17.461,17.626,17.413,17.501
2005-09-08,17.508,17.683,17.493,17.57
2005-09-09,17.568,17.67,17.465,17.493
2005-09-12,17.405,17.448,17.253,17.339
2005-09-13,17.326,17.467,17.318,17.37
2005-09-14,17.369,17.436,17.308,17.391
2005-09-15,17.388,17.424,17.275,17.384
2005-09-16,17.383,17.51,17.373,17.489
2005-09-19,17.434,17.467,17.32,17.404
2005-09-20,17.408,17.469,17.387,17.428
2005-09-21,17.433,17.515,17.395,17.495
2005-09-22,17.494,17.547,17.382,17.422
2005-09-23,17.418,17.446,17.31,17.35
2005-09-26,17.348,17.361,17.274,17.327
2005-09-27,17.329,17.434,17.305,17.405
2005-09-28,17.404,17.429,17.364,17.395
2005-09-29,17.4,17.459,17.298,17.341
2005-09-30,17.336,17.398,17.255,17.334
